plottable, palantir/plottable,['plottable.js'; 'plottable']
taucharts, TargetProcess/tauCharts,['taucharts'; 'taucharts.js']
metrics-graphics, mozilla/metrics-graphics,['metrics-graphics'; 'metricsgraphics.js'; 'metricsgraphics']
dc, dc-js/dc.js,['dc.js']
smoothie, joewalnes/smoothie,['smoothie charts'; 'smoothie.js']
keen-dataviz, keen/keen-dataviz.js,['keen-dataviz.js'; 'keen-dataviz']
chartist, gionkunz/chartist-js, ['chartist-js' ; 'chartist']
highcharts, highcharts/highcharts, ['highcharts'; 'highcharts.js']
n3-charts, n3-charts/line-chart,['n3-charts'; 'n3-line-chart']
leaflet, Leaflet/Leaflet,['leaflet']
deck.gl, uber/deck.gl,['deck.gl']
raphael, DmitryBaranovskiy/raphael,['raphael']
elycharts, voidlabs/elycharts,['elycharts'; 'ely charts'; 'elycharts.js']
amcharts, ChimpStudios/AmCharts,['amcharts']
cytoscape, cytoscape/cytoscape.js,['cytoscape.js'; 'cytoscape']
chart.js, chartjs/Chart.js,['chart.js']
rgraph, mhammiche/rgraph,['rgraph']
morris.js, morrisjs/morris.js,['morris.js']
vaadin charts, vaadin/charts,['vaadin charts']
jsxgraph, jsxgraph/jsxgraph,['jsxgraph']
pizza pie charts, zurb/pizza,['pizza pie charts']
jquery-sparkline, gwatts/jquery.sparkline,['jquery sparklines'; 'jquery-sparkline']
chartkick, ankane/chartkick,['chartkick']
zingchart, zingchart/ZingChart,['zingchart']
anychart, AnyChart/AnyChart,['anychart']
dojo charting, johntexastechsmith/DojoTrendCharting,['dojo charting'; 'dojox charting']
d3, d3/d3,['d3'; 'd3.js']
vizceral, Netflix/vizceral,['vizceral']
envision, HumbleSoftware/envisionjs,['envisionjs'; 'envision.js']
jenscript, sjanaud/jenscript,['jenscript'; 'jenscript.js']
ejscharts, EmpriseCorporation/EJSCharts, ['ejschart'; 'ejscharts'; 'ejs chart']
protovis, mbostock/protovis,['protovis']
cubism, square/cubism, ['cubism.js']
flot, flot/flot, ['flot charts'; 'flot']
flotr2, HumbleSoftware/Flotr2,['flotr2']
echarts, ecomfe/echarts,['echarts'; 'echarts.js']
jqplot, jqPlot/jqPlot,['jqplot']
uvcharts, Imaginea/uvCharts,['uvcharts']
xcharts, tenXer/xcharts,['xcharts']
plotly.js, plotly/plotly.js,['plotly.js'; 'plotly']
dygraphs, danvk/dygraphs, ['dygraphs'; 'dygraph']
nvd3, novus/nvd3,['nvd3']
fusioncharts, fusioncharts/fusionmaps-dist,['fusioncharts']
c3, vace/c3.js,['c3.js'; 'c3']
webcharts, RhoInc/Webcharts,['webcharts']
victory, FormidableLabs/victory,['victory']
sigma, jacomyal/sigma.js, ['sigma.js'; 'sigma js']
cesium, AnalyticalGraphicsInc/cesium,['cesium']
graphael, jjacobson93/graphael,['graphael']
ember-charts, Addepar/ember-charts,['ember-charts'; 'embercharts']
modestmaps, stamen/modestmaps-js,['modestmaps-js'; 'modestmaps']
rickshaw, shutterstock/rickshaw,['rickshaw'; 'rickshaw.js']