package,github_repo,tags,search_terms
amcharts,ChimpStudios/AmCharts,[amcharts],[amcharts]
anychart,AnyChart/AnyChart,[anychart],[anychart;anychartjs] 
arbor,samizdatco/arbor,[arbor.js],[arbor-js;arbor.js]
billboard.js,naver/billboard.js,[billboard.js],[billboard.js; billboardjs]
britecharts,eventbrite/britecharts,[britecharts],[britecharts]
bullet chart,stefanwalther/qvD3BulletCharts,[bullet-chart],[bullet-chart;bulletchart]
c3,c3js/c3,[c3;c3.js],[c3;c3.js;c3js]
cal-heatmap,wa0x6e/cal-heatmap,[cal-heatmap],[cal-heatmap]
cartodb,CartoDB/cartodb,[cartodb],[cartodb;carto]
cesium,AnalyticalGraphicsInc/cesium,[cesium],[cesium;cesiumjs]
chart.js,chartjs/Chart.js,[chart.js],[chartjs;chart.js]
chartist,gionkunz/chartist-js,[chartist.js],[chartist;chartistjs]
chartkick,ankane/chartkick,[chartkick],[chartkick;chartkickjs]
charts-4-php,kevinkhill/lavacharts,['charts-4-php'],['lavacharts';'charts-4-php']
chess-dataviz,ebemunk/chess-dataviz,[chess-dataviz],[chess-dataviz]
chroma-js,gka/chroma.js,[chroma.js],[chroma.js]
chroniton,arankek/chroniton,[chroniton],[chroniton]
cirrus.js,planet-os/cirrusjs,[cirrus.js],[cirrusjs;cirrus.js]
codeflower,fzaninotto/CodeFlower,[codeflower],[codeflower]
colajs,WPAdictos/ColaJS,[colajs],[cola-js;colajs]
comic.js,balint42/comic.js,[comic.js],[comic.js]
composite-projections,OSUCartography/adaptive-composite-map-projections,['composite-projections'],['composite-projections']
cubism,square/cubism,[cubism.js],[cubism;cubismjs]
cytoscape,cytoscape/cytoscape.js,[cytoscape.js;cytoscape],[cytoscape;cytoscapejs]
d3,d3/d3,[d3.js],[d3;d3js]
d4,heavysixer/d4,[d4],[d4]
datamaps,markmarkoh/datamaps,[datamaps],[datamaps]
dc,dc-js/dc.js,[dc.js],[dcjs;dc.js;dc-js]
deck.gl,uber/deck.gl,[deck.gl],[deck.gl]
dimple,PMSI-AlignAlytics/dimple,[dimple.js],[dimple;dimplejs]
dragit,azinasili/dragit,[d3-dragit],[d3-dragit]
dtree,ErikGartner/dTree,[dtree],[d3-dtree]
dygraphs,danvk/dygraphs,[dygraphs],[dygraphs]
echarts,ecomfe/echarts,[echarts],[echarts;echartsjs]
ejscharts,EmpriseCorporation/EJSCharts,[ejs-chart],[ejs-chart;ejscharts]
ember-charts,Addepar/ember-charts,[ember-charts],[ember-charts;embercharts]
envision,HumbleSoftware/envisionjs,[envision.js],[envision.js]
epoch-charting,epochjs/epoch,[epoch-charting],[epoch-charting]
eventDrops,marmelab/EventDrops,[eventdrops],[eventdrops]
fancycharts,ahoiin/Fancycharts.js,[fancycharts],[fancycharts]
firespray,boundary/firespray,[firespray],[firespray]
flot,flot/flot,[flot],[flot;flotjs]
flotr2,HumbleSoftware/Flotr2,[flotr2],[flotr2]
forest-d3,robinfhu/forest-d3,[forest-d3],[forest-d3]
fusioncharts,fusioncharts/fusionmaps-dist,[fusioncharts],[fusioncharts]
gantt-chart,dk8996/Gantt-Chart,[gantt-chart],[gantt-chart]
graph-scroll,1wheel/graph-scroll,[graph-scroll.js],[graph-scroll.js]
graphael,jjacobson93/graphael,[graphael],[graphael;graphaeljs]
highcharts,highcharts/highcharts,[highcharts],[highcharts;highchartsjs]
insight-js,ignacioola/insights,[insights],[insights-js; insightsjs]
iopctrl,metormote/iopctrl,[iopctrl],[iopctrl]
jenscript,sjanaud/jenscript,[jenscript],[jenscript]
jqplot,jqPlot/jqPlot,[jqplot],[jqplot]
jquery-mapael,neveldo/jQuery-Mapael,[mapael],[mapael]
jquery-sparkline,gwatts/jquery.sparkline,[sparklines],[jquery-sparkline;jquery-sparklines]
jsdoc2diagram,amcmillan01/jsdoc2diagram,[jsdoc2diagram],[jsdoc2diagram]
jsxgraph,jsxgraph/jsxgraph,[jsxgraph],[jsxgraph]
kartograph-js,kartograph/kartograph.js,[kartograph],[kartograph;kartographjs]
keen-dataviz,keen/keen-dataviz.js,[keen-dataviz.js;keen-dataviz],[keen-dataviz]
kodama,y310/kodama,[kodama],[kodama]
koto,kotojs/kotojs,[koto],[koto;kotojs]
leaflet,Leaflet/Leaflet,[leaflet],[leaflet]
leaflet-d3,Asymmetrik/leaflet-d3,[dc.leaflet.js],[dc.leaflet.js]
leaflet-dvf,humangeo/leaflet-dvf,[leaflet-dvf],[leaflet-dvf]
mapmap,mapmapteam/mapmap,[mapmap],[mapmap]
mapsense.js,mapsense/mapsense.js,[mapsense.js],[mapsense.js]
maptable,Packet-Clearing-House/maptable,[maptable],[maptable]
mermaid,knsv/mermaid,[mermaid],[d3-mermaid]
metrics-graphics,mozilla/metrics-graphics,[metricsgraphicsjs],[metrics-graphics;metricsgraphicsjs]
micropolar,biovisualize/micropolar,[micropolar],[micropolar]
modestmaps,stamen/modestmaps-js,[modestmaps.js],[modestmap;modestmapsjs]
morris.js,morrisjs/morris.js,[morris.js],[morris-charts;morrisjs;morris.js]
mpld3,mpld3/mpld3,[mpld3],[mpld3]
n3-charts,n3-charts/line-chart,[n3-charts],[n3-charts;n3-line-chart]
nextcharts,nextreports/nextcharts,['nextcharts'],['nextcharts']
netvis,dborzov/netvis,[netvis],[netvis]
nvd3,novus/nvd3,[nvd3.js],[nvd3;nvd3js]
peek,mtmacdonald/peek,[peek-js],[peek-js]
peity,benpickles/peity,[peity],[peity]
piecon,lipka/piecon,[piecon],[piecon]
pizza pie charts,zurb/pizza,[pizza-pie-charts],[pizza-pie-charts]
plotly.js,plotly/plotly.js,[plotly],[plotly;plotlyjs]
plottable,palantir/plottable,[plottable.js;plottable],[plottable;plottablejs]
pykcharts,pykih/PykCharts.js,[pykcharts],[pykcharts;pykchartsjs]
react-stockcharts,rrag/react-stockcharts,[react-stockcharts],[react-stockcharts]
react-vis,uber/react-vis,[react-vis],[react-vis]
recharts,recharts/recharts,[recharts],[recharts]
rickshaw,shutterstock/rickshaw,[rickshaw],[rickshaw;rickshawjs]
sigma,jacomyal/sigma.js,[sigma.js],[sigma-js;sigmajs]
simple map,vdw/MapIt,[simple map],[simple-map-js]
smoothie,joewalnes/smoothie,[smoothie.js],[smoothie-charts;smoothie.js;smoothiejs]
spam.js,newsappsio/spam,[spam.js],[spam.js]
swoopyarrows,bizweekgraphics/swoopyarrows,[swoopyarrows],[swoopyarrows]
taucharts,TargetProcess/tauCharts,[taucharts; taucharts.js],[taucharts;tauchartsjs]
techan,andredumas/techan.js,[techan.js],[techan; techanjs]
textures,riccardoscalco/textures,[textures.js],[textures.js]
timelinejs3,NUKnightLab/TimelineJS3,[timelinejs3],[timelinejs3]
uvcharts,Imaginea/uvCharts,[uvcharts],[uvcharts]
vaadin-charts,vaadin/vaadin-charts,['vaadin-charts'],['vaadin-charts']
vega,vega/vega,[vega],[vega]
victory,FormidableLabs/victory,[victory-charts],[victory-charts]
vis.js,almende/vis,[vis.js],[vis.js; visjs]
vivagraphjs,anvaka/VivaGraphJS,[vivagraphjs],[vivagraph; vivagraphjs]
vizabi,vizabi/vizabi,[vizabi],[vizabi]
vizceral,Netflix/vizceral,[vizceral],[vizceral]
vx,hshoff/vx,[vx-js],[vx-js]
webcharts,RhoInc/Webcharts,[webcharts],[webcharts]
webcola,tgdwyer/WebCola,[webcola],[webcola;cola.js;colajs]
xcharts,tenXer/xcharts,[xcharts],[xcharts]
xkcdplot,tlrobinson/xkcdplot,[xkcdplot],[xkcdplot]
zingchart,zingchart/ZingChart,[zingchart],[zingchart]
zoomcharts,ennosol/zoomcharts,['zoomcharts'],['zoomcharts']